session_path,subject_id,session_id,trial,trial_uid,id,photostim_onset,photostim_power,photostim_duration,task,task_protocol,trial_instruction,early_lick,outcome,auto_water,free_water,start_time,stop_time,presample_start_times,presample_stop_times,sample_start_times,sample_stop_times,delay_start_times,delay_stop_times,go_start_times,go_stop_times,left_lick_times,right_lick_times,photostim_start_times,photostim_stop_times,trial_time_total,trialend_start_times,trialend_stop_times
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,17,17,16,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,108.3067,113.2455,108.8067,109.6219,109.6219,110.2719,110.2719,111.4719,111.4719,112.9719,"111.7205, 111.8595, 111.9908, 112.1444, 112.1727, 112.3032, 112.4583, 112.5902, 112.7542, 112.7916, 112.9244, 113.0686, 113.1998",,,,4.9388000000000005,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,18,18,17,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,115.0475,119.8541,115.5475,116.245,116.245,116.895,116.895,118.095,118.095,119.595,"118.3291, 118.4477, 118.5888, 118.7269, 118.8557, 118.9888, 119.1912, 119.3382, 119.5167, 119.6493",,,,4.806600000000003,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,19,19,18,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,121.6578,126.4207,122.1578,122.8805,122.8805,123.5305,123.5305,124.7305,124.7305,126.2305,"124.8957, 125.0213, 125.1595, 125.2976, 125.4365, 125.5762, 125.7059, 125.8436, 125.9950, 126.1884, 126.3522",,,,4.762900000000002,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,20,20,19,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,128.3181,133.0258,128.8181,129.5128,129.5128,130.1628,130.1628,131.3628,131.3628,132.8628,,"131.5008, 131.5842, 131.7223, 131.8422, 131.9851, 132.0104, 132.1289, 132.2900, 132.4341, 132.5994, 132.7291, 132.8715, 133.0061",,,4.707700000000017,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,21,21,20,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,135.207,139.9815,135.707,136.4633,136.4633,137.1133,137.1133,138.3133,138.3133,139.8133,,"138.4565, 138.5125, 138.6465, 138.6754, 138.7780, 138.9053, 139.0685, 139.2418, 139.3946, 139.5409, 139.5637, 139.7058",,,4.7745000000000175,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,22,22,21,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,141.7876,146.6005,142.2876,143.1351,143.1351,143.7851,143.7851,144.9851,144.9851,146.4851,,"145.0755, 145.2188, 145.3464, 145.4868, 145.6282, 145.7557, 145.9231, 146.0867, 146.2261, 146.3648, 146.5133",,,4.812900000000013,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,23,23,22,N/A,N/A,N/A,audio delay,1,right,no early,hit,0,0,149.0916,154.036,149.5916,150.3918,150.3918,151.0418,151.0418,152.2418,152.2418,153.7418,,"152.5110, 152.6418, 152.7824, 152.9394, 152.9681, 153.0921, 153.2316, 153.3720, 153.5114, 153.6697, 153.8249, 153.9967",,,4.944400000000002,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,24,24,23,N/A,N/A,N/A,audio delay,1,left,no early,ignore,0,0,156.8597,161.9098,157.3597,158.2598,158.2598,158.9098,158.9098,160.1098,160.1098,161.6098,,,,,5.050099999999986,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,25,25,24,N/A,N/A,N/A,audio delay,1,left,no early,miss,0,0,163.722,167.0448,164.222,164.952,164.952,165.602,165.602,166.802,166.802,,,166.9448,,,3.322800000000001,,
sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen.nwb,440957,,26,26,25,N/A,N/A,N/A,audio delay,1,left,no early,hit,0,0,169.216,173.9323,169.716,170.4306,170.4306,171.0806,171.0806,172.2806,172.2806,173.7806,"172.4073, 172.5687, 172.6925, 172.8504, 173.0103, 173.1736, 173.2924, 173.4214, 173.5513, 173.6796, 173.8163",,,,4.71629999999999,,
